epoch,error,accuracy
1,0.44731637305959504,0.25
2,0.420136608721885,0.25
3,0.4026132798066344,0.25
4,0.3922551779914982,0.25
5,0.3851631300390729,0.25
6,0.38050129843990554,0.25
7,0.37765929240381485,0.25
8,0.37561521264358294,0.5
9,0.37409432480712157,0.5
10,0.3730506118222133,0.5
11,0.37222148482543455,0.5
12,0.3716310296851707,0.5
13,0.3711386680017627,0.5
14,0.37073221936847367,0.5
15,0.37033566945218777,0.75
16,0.36998140406727337,0.75
17,0.3696564712633557,0.75
18,0.3693421789588194,0.75
19,0.3690260264920336,0.75
20,0.36871882086478175,0.75
21,0.36840828176318097,0.75
22,0.36807790012148917,0.75
23,0.36772763558120064,0.75
24,0.3673788501572497,0.75
25,0.3670136783841647,0.75
26,0.36663289202036464,0.75
27,0.366228731808776,0.75
28,0.3658091440755615,0.75
29,0.36537913475744127,0.75
30,0.36491976194680875,0.75
31,0.3644514248181998,1.0
32,0.36394411055921105,0.75
33,0.36342438337519334,0.75
34,0.36286989758474103,0.75
35,0.36229897312504517,0.75
36,0.36169295690751013,0.75
37,0.36107762801157584,0.75
38,0.3604090117819908,0.75
39,0.35973147508342074,0.75
40,0.35901951206431004,0.75
41,0.35827505168224166,0.75
42,0.3575006662149684,0.75
43,0.35669478381836284,0.75
44,0.35585936017780806,0.75
45,0.3549542849033248,0.75
46,0.3540156574749048,0.75
47,0.35305369656998176,0.75
48,0.35205515546831145,0.75
49,0.3510069945940901,0.75
50,0.3499120648443081,0.75
51,0.3487672734170727,0.75
52,0.3475855611105434,0.75
53,0.34635686239315816,0.75
54,0.3450781351955422,0.75
55,0.34376286609418005,0.75
56,0.34238766409680765,0.75
57,0.34095603437109984,0.75
58,0.3394604716077623,0.75
59,0.3379285625138755,0.75
60,0.3363471854656415,0.75
61,0.3347011900349048,0.75
62,0.3330152288833876,0.75
63,0.3312635710473669,0.75
64,0.3294879069348794,0.75
65,0.32761000849213795,0.75
66,0.32569767922070825,0.75
67,0.3237501191192766,0.75
68,0.32175073393069936,0.75
69,0.3197193677995706,0.75
70,0.3176404413698759,0.75
71,0.3154889144506744,0.75
72,0.313305426107924,0.75
73,0.3110967748105534,0.75
74,0.3088478716601567,0.75
75,0.3065538147753165,0.75
76,0.30424176424572674,0.75
77,0.30189894720887717,0.75
78,0.2994906776424335,0.75
79,0.2970732895908811,0.75
80,0.29464676838554205,0.75
81,0.2921846529755554,0.75
82,0.28971808951975664,0.75
83,0.28724426016657734,0.75
84,0.2847402046704937,0.75
85,0.2822249436658297,0.75
86,0.2797195037568172,0.75
87,0.27721154870834996,0.75
88,0.27465989537378865,0.75
89,0.27211858969879177,0.75
90,0.2695635958441287,0.75
91,0.2670350103479041,0.75
92,0.2645123195307606,0.75
93,0.26199661343555075,0.75
